abusive	abuse-01
defendant	person ARG1-of( defend-01 )ARG1-of
drawing	picture ARG1-of( draw-01 )ARG1-of
employee	person ARG1-of( employ-01 )ARG1-of
expenditure	thing ARG1-of( expend-01 )ARG1-of
expense	thing ARG1-of( expend-01 )ARG1-of
hypotheses	thing ARG1-of( hypothesize-01 )ARG1-of
hypothesis	thing ARG1-of( hypothesize-01 )ARG1-of
intent	thing ARG1-of( intend-01 )ARG1-of
nominee	thing ARG1-of( nominate-01 )ARG1-of
opinion	thing ARG1-of( opine-01 )ARG1-of
painting	picture ARG1-of( paint-02 )ARG1-of
prisoner	person ARG1-of( imprison-01 )ARG1-of
suggestion	thing ARG1-of( suggest-01 )ARG1-of
surrounding	location ARG1-of( surround-01 )ARG1-of
symbol	thing ARG1-of( symbolize-01 )ARG1-of
transferee	person ARG1-of( transfer-01 )ARG1-of
victim	person ARG1-of( victimize-01 )ARG1-of
yield	thing ARG1-of( yield-03 )ARG1-of
blessing	thing ARG2-of( bless-01 )ARG2-of
evacuee	person ARG2-of( evacuate-01 )ARG2-of
justification	thing ARG2-of( justify-01 )ARG2-of
summary	thing ARG2-of( summarize-01 )ARG2-of
medicine	thing ARG2-of( medicate-01 )ARG2-of
product	thing ARG1-of( produce-01 )ARG1-of 
ruler	person ARG0-of( rule-03 )ARG0-of
starter	person ARG0-of( start-01 )ARG0-of
capability	capable-01
freedom	free-04
illness	ill-01
responsibility	responsible-01
safety	safe-01
shortage	short-06
strength	strong-02
sweetness	sweet-04
sweetness	sweet-05
